<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.04.09	105.33	120.60	101.18	119.10	59582	0	14
2025.04.10	119.12	119.37	108.30	112.54	40193	0	14
2025.04.11	112.51	122.53	112.03	121.03	35648	0	16
2025.04.12	121.00	133.90	119.30	131.91	34245	0	16
2025.04.13	131.93	133.79	125.22	127.02	43075	0	16
2025.04.14	127.03	135.94	126.67	129.50	57983	0	16
2025.04.15	129.52	134.38	125.79	126.45	50455	0	11
2025.04.16	126.45	133.81	123.44	132.06	67658	0	11
2025.04.17	132.06	136.09	129.46	133.31	46976	0	11
2025.04.18	133.33	135.85	132.29	133.74	24300	0	18
2025.04.19	133.74	140.35	133.05	139.42	20659	0	18
2025.04.20	139.41	141.74	135.44	136.58	18206	0	18
2025.04.21	136.61	143.14	133.68	135.91	35091	0	16
2025.04.22	135.90	149.42	134.42	148.93	40231	0	17
2025.04.23	148.96	154.01	146.97	151.27	44662	0	11
2025.04.24	151.25	152.32	145.05	150.83	33817	0	17
2025.04.25	150.82	156.93	149.73	150.93	35390	0	17
2025.04.26	150.95	153.02	147.58	149.01	19928	0	18
2025.04.27	149.02	150.27	145.31	148.38	22474	0	17
2025.04.28	148.35	153.23	144.46	147.76	33816	0	11
2025.04.29	147.79	150.24	145.38	145.83	25531	0	17
2025.04.30	145.84	148.51	140.18	146.94	32421	0	17
2025.05.01	146.97	153.79	146.80	150.02	24839	0	11
2025.05.02	150.09	151.73	147.13	147.54	21797	0	17
2025.05.03	147.53	148.91	145.66	147.23	11764	0	17
2025.05.04	147.22	147.62	144.49	144.97	14858	0	17
2025.05.05	144.96	147.57	142.34	147.15	23209	0	17
2025.05.06	147.17	147.39	141.38	146.05	27390	0	0
2025.05.07	146.05	149.49	144.59	147.69	33781	0	0
2025.05.08	147.69	162.96	146.99	158.04	29565	0	0
2025.05.09	158.01	176.11	154.65	173.27	25045	0	0
2025.05.10	173.28	175.10	168.73	174.92	19392	0	0
2025.05.11	174.97	180.06	169.28	171.89	20828	0	0
2025.05.12	171.89	181.39	168.33	173.54	26816	0	0
2025.05.13	173.55	184.26	166.20	182.81	33608	0	0
2025.05.14	182.82	184.73	173.08	175.86	48504	0	11
2025.05.15	175.87	178.12	166.54	168.05	54702	0	11
2025.05.16	168.03	174.01	166.17	167.25	43146	0	18
2025.05.17	167.27	169.84	163.85	165.13	36555	0	18
2025.05.18	165.15	176.63	164.41	169.89	36895	0	18
2025.05.19	169.88	174.15	159.22	165.63	56732	0	18
2025.05.20	165.61	172.97	164.33	167.62	43439	0	18
2025.05.21	167.62	174.81	165.33	171.54	52877	0	18
2025.05.22	171.54	180.71	171.00	177.92	48216	0	18
2025.05.23	177.96	187.53	173.22	175.52	58204	0	18
2025.05.24	175.50	178.13	172.46	175.97	29114	0	18
2025.05.25	175.98	176.72	168.97	174.68	30021	0	18
2025.05.26	174.68	178.85	173.29	174.03	27054	0	11
2025.05.27	174.02	179.29	171.06	176.47	33716	0	18
2025.05.28	176.45	177.29	168.71	170.71	24927	0	18
2025.05.29	170.73	175.18	165.89	166.87	29927	0	11
2025.05.30	166.89	167.37	155.96	156.55	40360	0	18
2025.05.31	156.58	157.82	151.97	156.68	36834	0	18
2025.06.01	156.66	157.53	150.40	157.03	24895	0	18
